Phase,Week,Day,Card Title,Checklist Name,Tasks
1,1,1,Day 1 — Define target role stack,Daily Tasks,"- [ ] Write down your exact target titles: Director of Product and Principal PM
- [ ] List 15 target companies across Canada and the US
- [ ] Choose primary focus: AI platform, AI product, or AI-enabled growth
- [ ] Write 5 bullets on why you are credible for these roles
- [ ] Create a single folder for all job-search artifacts"
1,1,2,Day 2 — Analyze target job descriptions,Daily Tasks,"- [ ] Collect 8 live job descriptions for Director or Principal PM roles
- [ ] Highlight repeated requirements across the job descriptions
- [ ] List the top 10 skills being screened for
- [ ] Mark each skill as strong, medium, or weak for yourself
- [ ] Write a one-page gap summary"
1,1,3,Day 3 — Write career narrative v1,Daily Tasks,"- [ ] Draft your career story from early PM work to HelloFresh
- [ ] Write a 90-second Tell me about yourself answer
- [ ] Write a 30-second executive intro version
- [ ] Practice both versions out loud 3 times
- [ ] Record yourself once and note weak spots"
1,1,4,Day 4 — Build leadership story bank,Daily Tasks,"- [ ] List 10 leadership situations from your career
- [ ] Choose 5 strongest stories for interviews
- [ ] For 2 stories write Situation, Task, Action, Result
- [ ] Add concrete metrics to each story
- [ ] Tag each story by theme: strategy, execution, conflict, failure, influence"
1,1,5,Day 5 — Refresh product sense framework,Daily Tasks,"- [ ] Review one product sense framework you will use consistently
- [ ] Practice Improve Uber Eats in writing
- [ ] Structure the answer as user, pain point, prioritization, solution, metrics
- [ ] Time-box yourself to 30 minutes
- [ ] Rewrite the answer more crisply"
1,1,6,Day 6 — Refresh metrics framework,Daily Tasks,"- [ ] Review north star, input, output, and guardrail metrics
- [ ] Build a metric tree for Spotify or Instacart
- [ ] Write 3 risks of optimizing only one top-level metric
- [ ] Practice explaining metric tradeoffs out loud
- [ ] Save your metric-tree template"
1,1,7,Day 7 — Weekly review and reset,Daily Tasks,"- [ ] Review all outputs from Days 1 to 6
- [ ] List your top 3 weak areas
- [ ] Rewrite one weak answer from scratch
- [ ] Set goals for Week 2
- [ ] Clean and organize your files"
1,2,8,Day 8 — Learn product strategy structure,Daily Tasks,"- [ ] Review a simple strategy structure: problem, thesis, bets, risks, metrics
- [ ] Pick one familiar product area to use as a running case
- [ ] Write a one-page product strategy for it
- [ ] Define what you would explicitly not do
- [ ] Practice summarizing the strategy in 2 minutes"
1,2,9,Day 9 — Practice strategy case 1,Daily Tasks,"- [ ] Solve a strategy prompt such as Launch a new AI feature for HelloFresh
- [ ] Write assumptions before solutions
- [ ] Prioritize 3 possible directions
- [ ] Define success metrics and risks
- [ ] Review your answer against clarity and tradeoff quality"
1,2,10,Day 10 — Learn prioritization and execution,Daily Tasks,"- [ ] Review RICE or another prioritization method
- [ ] Take one real past backlog and rescore it
- [ ] Write why the top 3 items win
- [ ] Write one paragraph on how you would explain this to engineering
- [ ] Save your prioritization template"
1,2,11,Day 11 — Prepare stakeholder stories,Daily Tasks,"- [ ] Write one conflict story with engineering or design
- [ ] Write one alignment story with senior leadership
- [ ] Add metrics and business impact to both
- [ ] Practice both stories out loud
- [ ] Note filler words or vague phrases to remove"
1,2,12,Day 12 — Prepare behavioral answers 1,Daily Tasks,"- [ ] Write answers for Biggest impact and Biggest failure
- [ ] Use STAR structure for both
- [ ] Add one reflection lesson to each answer
- [ ] Practice each answer twice
- [ ] Trim each answer to under 2 minutes"
1,2,13,Day 13 — Run mock interview 1,Daily Tasks,"- [ ] Do one product case mock interview
- [ ] Do one behavioral mock interview
- [ ] Score yourself on clarity, depth, and structure
- [ ] Write the top 3 mistakes you made
- [ ] Rewrite one answer immediately"
1,2,14,Day 14 — Review and tighten week 2,Daily Tasks,"- [ ] Review all work from Days 8 to 13
- [ ] Update your gap list
- [ ] Choose the 2 themes to improve next week
- [ ] Practice your intro pitch again
- [ ] Archive finished notes and label drafts clearly"
1,3,15,Day 15 — Learn platform and systems thinking,Daily Tasks,"- [ ] Review the difference between feature, product, and platform thinking
- [ ] Write a one-page note on when to build platform first
- [ ] Choose one AI platform example to study
- [ ] Explain platform tradeoffs out loud
- [ ] Save a reusable platform-answer outline"
